iata,name,city,state,country
KYD,Lanyu Airport,Orchid Island,Taiwan,TW
RMQ,Taichung Ching Chuang Kang Airport,Taichung City,Taiwan,TW
MFK,Matsu Beigan Airport,Beigan Island,Fukien,TW
TNN,Tainan Airport,Tainan City,Taiwan,TW
HSZ,Hsinchu Air Base,Hsinchu City,Taiwan,TW
MZG,Makung Airport,Makung City,Taiwan,TW
PIF,Pingtung North Airport,Pingtung,Taiwan,TW
TSA,Taipei Songshan Airport,Taipei City,Taiwan,TW
TPE,Taiwan Taoyuan International Airport,Taipei,Taiwan,TW
WOT,Wang-an Airport,Wang-an,Taiwan,TW
HUN,Hualien Airport,Hualien City,Taiwan,TW
KIX,Kansai International Airport,Osaka,Osaka,JP
SHM,Nanki Shirahama Airport,Shirahama,Wakayama,JP
UKB,Kobe Airport,Kobe,Hyogo,JP
TJH,Tajima Airport,Tajima,Hyogo,JP
OBO,Tokachi-Obihiro Airport,Obihiro,Hokkaido,JP
CTS,New Chitose Airport,Chitose / Tomakomai,Hokkaido,JP
HKD,Hakodate Airport,Hakodate,Hokkaido,JP
KUH,Kushiro Airport,Kushiro,Hokkaido,JP
MMB,Memanbetsu Airport,Ozora,Hokkaido,JP
SHB,Nakashibetsu Airport,Nakashibetsu,Hokkaido,JP
OKD,Okadama Airport,Sapporo,Hokkaido,JP
WKJ,Wakkanai Airport,Wakkanai,Hokkaido,JP
IKI,Iki Airport,Iki,Nagasaki,JP
UBJ,Yamaguchi Ube Airport,Ube,Yamaguchi,JP
TSJ,Tsushima Airport,Tsushima,Nagasaki,JP
MBE,Monbetsu Airport,Monbetsu,Hokkaido,JP
AKJ,Asahikawa Airport,Asahikawa,Hokkaido,JP
RIS,Rishiri Airport,Rishiri,Hokkaido,JP
FUJ,Fukue Airport,Goto,Nagasaki,JP
FUK,Fukuoka Airport,Fukuoka,Fukuoka,JP
KOJ,Kagoshima Airport,Kagoshima,Kagoshima,JP
KMI,Miyazaki Airport,Miyazaki,Miyazaki,JP
OIT,Oita Airport,Oita,Oita,JP
KKJ,Kitakyushu Airport,Kitakyushu,Fukuoka,JP
HSG,Saga Airport,Saga,Saga,JP
KMJ,Kumamoto Airport,Kumamoto,Kumamoto,JP
NGS,Nagasaki Airport,Nagasaki,Nagasaki,JP
NGO,Chubu Centrair International Airport,Tokoname,Aichi,JP
ASJ,Amami Airport,Amami,Kagoshima,JP
TKN,Tokunoshima Airport,Tokunoshima,Kagoshima,JP
NKM,Nagoya Airport,Nagoya,Aichi,JP
QGU,Gifu Airport,Gifu,Gifu,JP
KMQ,Komatsu Airport,Kanazawa,Ishikawa,JP
OKI,Oki Airport,Okinoshima,Shimane,JP
TOY,Toyama Airport,Toyama,Toyama,JP
NTQ,Noto Airport,Wajima,Ishikawa,JP
HIJ,Hiroshima Airport,Hiroshima,Hiroshima,JP
OKJ,Okayama Airport,Okayama City,Okayama,JP
IZO,Izumo Airport,Izumo,Shimane,JP
YGJ,Miho Yonago Airport,Yonago,Tottori,JP
IWK,Iwakuni Marine Corps Air Station,Iwakuni,Yamaguchi,JP
KCZ,Kochi Ryoma Airport,Nankoku,Kochi,JP
MYJ,Matsuyama Airport,Matsuyama,Ehime,JP
ITM,Osaka International Airport,Osaka,Hyogo,JP
TTJ,Tottori Airport,Tottori,Tottori,JP
TKS,Tokushima Airport,Tokushima,Tokushima,JP
TAK,Takamatsu Airport,Takamatsu,Kagawa,JP
IWJ,Iwami Airport,Masuda,Shimane,JP
AOJ,Aomori Airport,Aomori,Aomori,JP
GAJ,Yamagata Airport,Yamagata,Yamagata,JP
FKS,Fukushima Airport,Sukagawa,Fukushima,JP
AXT,Akita Airport,Akita,Akita,JP
MSJ,Misawa Air Base,Misawa,Aomori,JP
KIJ,Niigata Airport,Niigata,Niigata,JP
ONJ,Odate Noshiro Airport,Odate,Akita,JP
SDJ,Sendai Airport,Sendai,Miyagi,JP
SYO,Shonai Airport,Shonai,Yamagata,JP
HAC,Hachijojima Airport,Hachijojima,Tokyo,JP
OIM,Oshima Airport,Izu Oshima,Tokyo,JP
MYE,Miyakejima Airport,Miyakejima,Tokyo,JP
HND,Tokyo International Airport,Tokyo,Tokyo,JP
OKO,Yokota Air Base,Fussa,Tokyo,JP
KWJ,Gwangju Airport,Gwangju,Gwangju,KR
KUV,Kunsan Air Base,Kunsan,Jeollabuk-do,KR
CHN,Jeon Ju Airport,Jeon Ju,Jeollabuk-do,KR
RSU,Yeosu Airport,Yeosu,Jeollanam-do,KR
QUN,A-306 Airport,Chun Chon City,Gangwon-do,KR
WJU,Wonju Airport,Wonju,Gangwon-do,KR
YNY,Yangyang International Airport,Sokcho / Gangneung,Gangwon-do,KR
CJU,Jeju International Airport,Jeju City,Jeju-do,KR
CHF,Jinhae Airport,Jinhae,Gyeongsangnam-do,KR
PUS,Gimhae International Airport,Busan,Busan,KR
HIN,Sacheon Air Base,Sacheon,Gyeongsangnam-do,KR
USN,Ulsan Airport,Ulsan,Ulsan,KR
ICN,Incheon International Airport,Seoul,Incheon,KR
GMP,Gimpo International Airport,Seoul,Seoul,KR
KPO,Pohang Airport,Pohang,Gyeongsangbuk-do,KR
TAE,Daegu Airport,Daegu,Daegu,KR
HMY,Seosan Air Base,Seosan,Chungcheongnam-do,KR
CJJ,Cheongju International Airport,Cheongju,North Chungcheong,KR
OKA,Naha Airport,Naha,Okinawa,JP
ISG,Ishigaki Airport,Ishigaki,Okinawa,JP
KJP,Kerama Airport,Kerama,Okinawa,JP
MMY,Miyako Airport,Miyako City,Okinawa,JP
AGJ,Aguni Airport,Aguni,Okinawa,JP
HTR,Hateruma Airport,Hateruma,Okinawa,JP
OGN,Yonaguni Airport,,Okinawa,JP
ENI,El Nido Airport,El Nido,Palawan,PH
SFS,Subic Bay International Airport,Olongapo City,Central Luzon,PH
CRK,Diosdado Macapagal International Airport,Angeles City,Central Luzon,PH
LAO,Laoag International Airport,Laoag City,Ilocos,PH
CYU,Cuyo Airport,Cuyo,Mimaropa,PH
LGP,Legazpi City International Airport,Legazpi City,Bicol,PH
SGL,Sangley Point Air Base,Cavite City,Calabarzon,PH
AAV,Allah Valley Airport,Surallah,Soccsksargen,PH
CBO,Awang Airport,Cotabato City,ARMM,PH
DVO,Francisco Bangoy International Airport,Davao City,Davao,PH
BXU,Bancasi Airport,Butuan City,Caraga,PH
DPL,Dipolog Airport,Dipolog City,Zamboanga-Peninsula,PH
JOL,Jolo Airport,,ARMM,PH
MLP,Malabang Airport,Malabang,ARMM,PH
OZC,Labo Airport,Ozamiz City,Northern Mindanao,PH
PAG,Pagadian Airport,Pagadian City,Zamboanga-Peninsula,PH
GES,Tambler Prinipal Airport,South Cotabato,Soccsksargen,PH
SUG,Surigao Airport,Surigao City,Caraga,PH
CDY,Cagayan de Sulu Airport,Mapun,ARMM,PH
IPE,Ipil Airport,Ipil,Zamboanga-Peninsula,PH
CGY,Laguindingan Intl,Cagayan de Oro,Northern Mindanao,PH
ZAM,Zamboanga International Airport,Zamboanga City,Zamboanga-Peninsula,PH
IAO,Siargao Airport,Del Carmen,Caraga,PH
RZP,Cesar Lim Rodriguez Airport,Taytay Airport,Mimaropa,PH
BAG,Loakan Airport,Baguio City,Cordillera,PH
DTE,Daet Airport,Daet,Bicol,PH
SJI,San Jose Airport,San Jose,Mimaropa,PH
WNP,Naga Airport,Naga,Bicol,PH
BSO,Basco Airport,Basco,Cagayan-Valley,PH
BQA,Dr.Juan C. Angara Airport,Baler,Central Luzon,PH
TUG,Tuguegarao Airport,Tuguegarao City,Cagayan-Valley,PH
VRC,Virac Airport,Virac,Bicol,PH
MRQ,Marinduque Airport,Gasan,Mimaropa,PH
CYZ,Cauayan Airport,Cauayan City,Cagayan-Valley,PH
TAC,Daniel Z. Romualdez Airport,Tacloban City,Eastern Visayas,PH
BCD,Bacolod-Silay City International Airport,Bacolod City,Negros-Island-Region,PH
CYP,Calbayog Airport,Calbayog City,Eastern Visayas,PH
DGT,Sibulan Airport,Dumaguete City,Central Visayas,PH
MPH,Godofredo P. Ramos Airport,Malay,Western Visayas,PH
CRM,Catarman National Airport,Catarman,Eastern Visayas,PH
ILO,Iloilo International Airport,Iloilo City,Western Visayas,PH
MBT,Moises R. Espinosa Airport,Masbate,Bicol,PH
KLO,Kalibo International Airport,Kalibo,Western Visayas,PH
CEB,Mactan Cebu International Airport,Lapu-Lapu City,Central Visayas,PH
OMC,Ormoc Airport,Ormoc City,Eastern Visayas,PH
PPS,Puerto Princesa Airport,Puerto Princesa City,Mimaropa,PH
RXS,Roxas Airport,Roxas City,Western Visayas,PH
EUQ,Evelio Javier Airport,San Jose,Western Visayas,PH
TAG,Tagbilaran Airport,Tagbilaran City,Central Visayas,PH
TBH,Romblon Airport,Romblon,Mimaropa,PH
USU,Francisco B. Reyes Airport,Coron,Mimaropa,PH
BPR,Borongan Airport,Borongan City,Eastern Visayas,PH
CCT,Colonia Catriel Airport,Colonia Catriel,Rio-Negro,AR
COC,Comodoro Pierrestegui Airport,Concordia,Entre-Rios,AR
GHU,Gualeguaychu Airport,Gualeguaychu,Entre-Rios,AR
JNI,Junin Airport,Junin,Buenos-Aires,AR
PRA,General Urquiza Airport,Paraná,Entre-Rios,AR
ROS,Islas Malvinas Airport,Rosario,Santa Fe,AR
SFN,Sauce Viejo Airport,Santa Fe,Santa Fe,AR
AEP,Jorge Newbery Airpark,Buenos Aires,Buenos-Aires-F-D-,AR
LCM,La Cumbre Airport,La Cumbre,Cordoba,AR
COR,Ingeniero Ambrosio Taravella Airport,Cordoba,Cordoba,AR
FDO,San Fernando Airport,San Fernando,Buenos-Aires,AR
LPG,La Plata Airport,La Plata,Buenos-Aires,AR
EPA,El Palomar Airport,El Palomar,Buenos-Aires,AR
MJR,Miramar Airport,Miramar,Buenos-Aires,AR
EZE,Ministro Pistarini International Airport,Ezeiza,Buenos-Aires,AR
RAF,Rafaela Airport,Rafaela,Santa Fe,AR
NCJ,Sunchales Aeroclub Airport,Sunchales,Santa Fe,AR
HOS,Chos Malal Airport,Chos Malal,Neuquen,AR
CVH,Caviahue Airport,Lafontaine,Neuquen,AR
GNR,Dr. Arturo H. Illia Airport,General Roca,Rio-Negro,AR
RDS,Rincon De Los Sauces Airport,Rincon de los Sauces,Neuquen,AR
APZ,Zapala Airport,Zapala,Neuquen,AR
MDZ,El Plumerillo Airport,Mendoza,Mendoza,AR
LGS,Comodoro D.R. Salomon Airport,Malargue,Mendoza,AR
AFA,Suboficial Ay Santiago Germano Airport,San Rafael,Mendoza,AR
CTC,Catamarca Airport,Catamarca,Catamarca,AR
SDE,Vicecomodoro Angel D. La Paz Aragones Airport,Santiago del Estero,Santiago-del-Estero,AR
RHD,Las Termas Airport,Rio Hondo,Santiago-del-Estero,AR
IRJ,Capitan V A Almonacid Airport,La Rioja,La Rioja,AR
TUC,Teniente Benjamin Matienzo Airport,San Miguel de Tucuman,Tucuman,AR
UAQ,Domingo Faustino Sarmiento Airport,San Juan,San Juan,AR
CRR,Ceres Airport,Ceres,Santa Fe,AR
RCU,Area De Material Airport,Rio Cuarto,Cordoba,AR
VDR,Villa Dolores Airport,Villa Dolores,Cordoba,AR
VME,Villa Reynolds Airport,Villa Reynolds,San Luis,AR
RLO,Valle Del Conlara International Airport,Merlo,San Luis,AR
LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,San Luis,AR
CNQ,Corrientes Airport,Corrientes,Corrientes,AR
RES,Resistencia International Airport,Resistencia,Chaco,AR
FMA,Formosa Airport,Formosa,Formosa,AR
IGR,Cataratas Del Iguazu International Airport,Puerto Iguazu,Misiones,AR
AOL,Paso De Los Libres Airport,Paso de los Libres,Corrientes,AR
MCS,Monte Caseros Airport,Monte Caseros,Corrientes,AR
PSS,Libertador Gral D Jose De San Martin Airport,Posadas,Misiones,AR
PRQ,Termal Airport,Presidencia Roque Saenz Pena,Chaco,AR
SLA,Martin Miguel De Guemes International Airport,Salta,Salta,AR
JUJ,Gobernador Horacio Guzman International Airport,San Salvador de Jujuy,Jujuy,AR
ORA,Oran Airport,Oran,Salta,AR
TTG,General Enrique Mosconi Airport,Tartagal,Salta,AR
CLX,Clorinda Airport,Clorinda,Formosa,AR
ELO,El Dorado Airport,El Dorado,Misiones,AR
OYA,Goya Airport,Goya,Corrientes,AR
LLS,Alferez Armando Rodriguez Airport,Las Lomitas,Formosa,AR
MDX,Mercedes Airport,Mercedes,Corrientes,AR
RCQ,Reconquista Airport,Reconquista,Santa Fe,AR
UZU,Curuzu Cuatia Airport,Curuzu Cuatia,Corrientes,AR
EHL,El Bolson Airport,El Bolson,Rio-Negro,AR
CRD,General E. Mosconi Airport,Comodoro Rivadavia,Chubut,AR
EMX,El Maiten Airport,El Maiten,Chubut,AR
EQS,Brigadier Antonio Parodi Airport,Esquel,Chubut,AR
LHS,Las Heras Airport,Las Heras,Santa Cruz,AR
IGB,Cabo F.A.A. H. R. Bordon Airport,Ingeniero Jacobacci,Rio-Negro,AR
OLN,Lago Musters Airport,Sarmiento,Chubut,AR
OES,Antoine De St Exupery Airport,San Antonio Oeste,Rio-Negro,AR
MQD,Maquinchao Airport,Maquinchao,Rio-Negro,AR
ARR,D. Casimiro Szlapelis Airport,Alto Rio Senguerr,Chubut,AR
SGV,Sierra Grande Airport,Sierra Grande,Rio-Negro,AR
REL,Almirante Marco Andres Zar Airport,Rawson,Chubut,AR
VDM,Gobernador Castello Airport,Viedma / Carmen de Patagones,Rio-Negro,AR
PMY,El Tehuelche Airport,Puerto Madryn,Chubut,AR
ING,Lago Argentino Airport,El Calafate,Santa Cruz,AR
FTE,El Calafate Airport,El Calafate,Santa Cruz,AR
PUD,Puerto Deseado Airport,Puerto Deseado,Santa Cruz,AR
RGA,Hermes Quijada International Airport,Rio Grande,Tierra-del-Fuego,AR
RGL,Piloto Civil N. Fernandez Airport,Rio Gallegos,Santa Cruz,AR
USH,Malvinas Argentinas Airport,Ushuahia,Tierra-del-Fuego,AR
ULA,Capitan D Daniel Vazquez Airport,San Julian,Santa Cruz,AR
ROY,Rio Mayo Airport,Rio Mayo,Chubut,AR
PMQ,Perito Moreno Airport,Perito Moreno,Santa Cruz,AR
GGS,Gobernador Gregores Airport,Gobernador Gregores,Santa Cruz,AR
JSM,Jose De San Martin Airport,Chubut,Chubut,AR
RYO,28 De Noviembre Airport,El Turbio,Santa Cruz,AR
RZA,Santa Cruz Airport,Santa Cruz,Santa Cruz,AR
BHI,Comandante Espora Airport,Bahia Blanca,Buenos-Aires,AR
CSZ,Brigadier D.H.E. Ruiz Airport,Coronel Suarez,Buenos-Aires,AR
OVR,Olavarria Airport,Olavarria,Buenos-Aires,AR
GPO,General Pico Airport,General Pico,La Pampa,AR
OYO,Tres Arroyos Airport,Tres Arroyos,Buenos-Aires,AR
SST,Santa Teresita Airport,Santa Teresita,Buenos-Aires,AR
MDQ,Astor Piazzola International Airport,Mar del Plata,Buenos-Aires,AR
NQN,Presidente Peron Airport,Neuquen,Neuquen,AR
NEC,Necochea Airport,Necochea,Buenos-Aires,AR
PEH,Comodoro Pedro Zanni Airport,Pehuajo,Buenos-Aires,AR
RSA,Santa Rosa Airport,Santa Rosa,La Pampa,AR
BRC,San Carlos De Bariloche Airport,San Carlos de Bariloche,Rio-Negro,AR
TDL,Heroes De Malvinas Airport,Tandil,Buenos-Aires,AR
VLG,Villa Gesell Airport,Villa Gesell,Buenos-Aires,AR
CUT,Cutral-Co Airport,Cutral-Co,Neuquen,AR
CPC,Aviador C. Campos Airport,Chapelco/San Martin de los Andes,Neuquen,AR
CDJ,Conceicao do Araguaia Airport,Conceicao Do Araguaia,Pará,BR
JTC,Bauru-Arealva Airport,Bauru,São Paulo,BR
AQA,Araraquara Airport,Araraquara,São Paulo,BR
AJU,Santa Maria Airport,Aracaju,Sergipe,BR
AIF,Marcelo Pires Halzhausen Airport,Assis,São Paulo,BR
AFL,Alta Floresta Airport,Alta Floresta,Mato Grosso do Sul,BR
ARU,Aracatuba Airport,Aracatuba,São Paulo,BR
AAX,Araxa Airport,Araxa,Minas Gerais,BR
BEL,Val de Cans/Julio Cezar Ribeiro International Airport,Belem,Pará,BR
BGX,Comandante Gustavo Kraemer Airport,Bage,Rio Grande do Sul,BR
PLU,Pampulha - Carlos Drummond de Andrade Airport,Belo Horizonte,Minas Gerais,BR
BFH,Bacacheri Airport,Curitiba,Paraná,BR
BJP,Aeroporto Estadual Arthur Siqueira Airport,Braganca Paulista,São Paulo,BR
QAK,Major Brigadeiro Doorgal Borges Airport,Barbacena,Minas Gerais,BR
BSB,Presidente Juscelino Kubistschek International Airport,Brasilia,Federal-District,BR
BAT,Chafei Amsei Airport,Barretos,São Paulo,BR
BAU,Bauru Airport,Bauru,São Paulo,BR
BVB,Atlas Brasil Cantanhede Airport,Boa Vista,Roraima,BR
BPG,Barra do Garcas Airport,Barra Do Garcas,Mato Grosso do Sul,BR
BZC,Umberto Modiano Airport,Cabo Frio,Rio de Janeiro,BR
CAC,Cascavel Airport,Cascavel,Paraná,BR
CFB,Cabo Frio Airport,Cabo Frio,Rio de Janeiro,BR
CNF,Tancredo Neves International Airport,Belo Horizonte,Minas Gerais,BR
CGR,Campo Grande Airport,Campo Grande,Mato-Grosso-do-Sul,BR
XAP,Chapeco Airport,Chapeco,Santa Catarina,BR
CLN,Brig. Lysias Augusto Rodrigues Airport,Carolina,Maranhão,BR
CKS,Carajas Airport,Carajas,Pará,BR
CCM,Forquilhinha - Criciuma Airport,Criciuma,Santa Catarina,BR
CLV,Caldas Novas Airport,Caldas Novas,Goiás,BR
QNS,Canoas Airport,Porto Alegre,Rio Grande do Sul,BR
CAW,Bartolomeu Lisandro Airport,Campos Dos Goytacazes,Rio de Janeiro,BR
CMG,Corumba International Airport,Corumba,Mato-Grosso-do-Sul,BR
CWB,Afonso Pena Airport,Curitiba,Paraná,BR
CRQ,Caravelas Airport,Caravelas,Bahia,BR
CXJ,Campo dos Bugres Airport,Caxias Do Sul,Rio Grande do Sul,BR
CGB,Marechal Rondon Airport,Cuiaba,Mato Grosso do Sul,BR
CZS,Cruzeiro do Sul Airport,Cruzeiro Do Sul,Distrito Federal,BR
BYO,Bonito Airport,Bonito,Mato-Grosso-do-Sul,BR
PPB,Presidente Prudente Airport,Presidente Prudente,São Paulo,BR
MAO,Eduardo Gomes International Airport,Manaus,Amazonas,BR
JCR,Jacareacanga Airport,Jacareacanga,Pará,BR
ESI,Espinosa Airport,Espinosa,Bahia,BR
IGU,Cataratas International Airport,Foz Do Iguacu,Paraná,BR
FLN,Hercilio Luz International Airport,Florianopolis,Santa Catarina,BR
FEN,Fernando de Noronha Airport,Fernando De Noronha,Pernambuco,BR
FOR,Pinto Martins International Airport,Fortaleza,Ceará,BR
GIG,Galeao - Antonio Carlos Jobim International Airport,Rio De Janeiro,Rio de Janeiro,BR
GJM,Guajara-Mirim Airport,Guajara-Mirim,Rondônia,BR
GYN,Santa Genoveva Airport,Goiania,Goiás,BR
GRU,Guarulhos - Governador Andre Franco Montoro International Airport,Sao Paulo,São Paulo,BR
GPB,Tancredo Thomas de Faria Airport,Guarapuava,Paraná,BR
GVR,Governador Valadares Airport,Governador Valadares,Minas Gerais,BR
GUJ,Guaratingueta Airport,Guaratingueta,São Paulo,BR
JHF,São Paulo Catarina Executive Airport,São Roque,São Paulo,BR
ATM,Altamira Airport,Altamira,Pará,BR
ITA,Itacoatiara Airport,Itacoatiara,Amazonas,BR
ITB,Itaituba Airport,Itaituba,Pará,BR
IOS,Bahia - Jorge Amado Airport,Ilheus,Bahia,BR
IPN,Usiminas Airport,Ipatinga,Minas Gerais,BR
IMP,Prefeito Renato Moreira Airport,Imperatriz,Maranhão,BR
JJD,Comandante Ariston Pessoa Airport,Jijoca de Jericoacoara (Cruz),Ceará,BR
JDF,Francisco de Assis Airport,Juiz De Fora,Minas Gerais,BR
JPA,Presidente Castro Pinto Airport,Joao Pessoa,Paraíba,BR
JDO,Orlando Bezerra de Menezes Airport,Juazeiro Do Norte,Ceará,BR
JOI,Lauro Carneiro de Loyola Airport,Joinville,Santa Catarina,BR
CPV,Presidente Joao Suassuna Airport,Campina Grande,Paraíba,BR
VCP,Viracopos International Airport,Campinas,São Paulo,BR
LEC,Chapada Diamantina Airport,Lencois,Bahia,BR
LAJ,Lages Airport,Lages,Santa Catarina,BR
LIP,Lins Airport,Lins,São Paulo,BR
LDB,Governador Jose Richa Airport,Londrina,Paraná,BR
LAZ,Bom Jesus da Lapa Airport,Bom Jesus Da Lapa,Bahia,BR
MAB,Maraba Airport,Maraba,Pará,BR
MQH,Minacu Airport,Minacu,Goiás,BR
MEU,Monte Dourado Airport,Almeirim,Pará,BR
MEA,Macae Airport,Macae,Rio de Janeiro,BR
MGF,Regional de Maringa - Silvio Nane Junior Airport,Maringa,Paraná,BR
MOC,Mario Ribeiro Airport,Montes Claros,Minas Gerais,BR
MII,Marilia Airport,Marilia,São Paulo,BR
PLL,Ponta Pelada Airport,Manaus,Amazonas,BR
MCZ,Zumbi dos Palmares Airport,Maceio,Alagoas,BR
MCP,Alberto Alcolumbre Airport,Macapa,Amapá,BR
MVF,Dix-Sept Rosado Airport,Mossoro,Rio Grande do Norte,BR
SAO,Campo de Marte Airport,Sao Paulo,São Paulo,BR
MNX,Manicore Airport,Manicore,Amazonas,BR
NVT,Ministro Victor Konder International Airport,Navegantes,Santa Catarina,BR
GEL,Santo Angelo Airport,Santo Angelo,Rio Grande do Sul,BR
NAT,Augusto Severo Airport,Natal,Rio Grande do Norte,BR
POA,Salgado Filho Airport,Porto Alegre,Rio Grande do Sul,BR
PHB,Prefeito Doutor Joao Silva Filho Airport,Parnaiba,Piauí,BR
POO,Pocos de Caldas Airport,Pocos De Caldas,Minas Gerais,BR
PFB,Lauro Kurtz Airport,Passo Fundo,Rio Grande do Sul,BR
PMW,Brigadeiro Lysias Rodrigues Airport,Palmas,Tocantins,BR
PET,Pelotas Airport,Pelotas,Rio Grande do Sul,BR
PNZ,Senador Nilo Coelho Airport,Petrolina,Pernambuco,BR
PNB,Porto Nacional Airport,Porto Nacional,Tocantins,BR
PMG,Ponta Pora Airport,Ponta Pora,Mato-Grosso-do-Sul,BR
BPS,Porto Seguro Airport,Porto Seguro,Bahia,BR
PVH,Governador Jorge Teixeira de Oliveira Airport,Porto Velho,Rondônia,BR
RBR,Placido de Castro Airport,Rio Branco,Distrito Federal,BR
REC,Guararapes - Gilberto Freyre International Airport,Recife,Pernambuco,BR
SDU,Santos Dumont Airport,Rio De Janeiro,Rio de Janeiro,BR
RAO,Leite Lopes Airport,Ribeirao Preto,São Paulo,BR
SNZ,Santa Cruz Airport,Rio De Janeiro,Rio de Janeiro,BR
SJK,Professor Urbano Ernesto Stumpf Airport,Sao Jose Dos Campos,São Paulo,BR
SLZ,Marechal Cunha Machado International Airport,Sao Luis,Maranhão,BR
RIA,Santa Maria Airport,Santa Maria,Rio Grande do Sul,BR
STM,Maestro Wilson Fonseca Airport,Santarem,Pará,BR
CGH,Congonhas Airport,Sao Paulo,São Paulo,BR
SJP,Sao Jose do Rio Preto Airport,Sao Jose Do Rio Preto,São Paulo,BR
SSZ,Base Aerea de Santos Airport,Guaruja,São Paulo,BR
SSA,Deputado Luiz Eduardo Magalhaes International Airport,Salvador,Bahia,BR
QHP,Base de Aviacao de Taubate Airport,Taubate,São Paulo,BR
TMT,Trombetas Airport,Oriximina,Pará,BR
UNA,Hotel Transamerica Airport,Una,Bahia,BR
TOW,Toledo Airport,Toledo,Paraná,BR
THE,Senador Petronio Portela Airport,Teresina,Piauí,BR
TFF,Tefe Airport,Tefe,Amazonas,BR
TJL,Plinio Alarcom Airport,Tres Lagoas,São Paulo,BR
TRQ,Tarauaca Airport,Tarauaca,Distrito Federal,BR
TEC,Telemaco Borba Airport,Telemaco Borba,Paraná,BR
TSQ,Torres Airport,Torres,Rio Grande do Sul,BR
TBT,Tabatinga Airport,Tabatinga,Amazonas,BR
TUR,Tucurui Airport,Tucurui,Pará,BR
SJL,Sao Gabriel da Cachoeira Airport,Sao Gabriel Da Cachoeira,Amazonas,BR
PAV,Paulo Afonso Airport,Paulo Afonso,Bahia,BR
URG,Rubem Berta Airport,Uruguaiana,Rio Grande do Sul,BR
UDI,Ten. Cel. Aviador Cesar Bombonato Airport,Uberlandia,Minas Gerais,BR
UBA,Mario de Almeida Franco Airport,Uberaba,Minas Gerais,BR
VDC,Glauber de Andrade Rocha Airport,Vitória da Conquista,Bahia,BR
VAG,Major Brigadeiro Trompowsky Airport,Varginha,Minas Gerais,BR
BVH,Vilhena Airport,Vilhena,Rondônia,BR
VIX,Eurico de Aguiar Salles Airport,Vitoria,Espírito Santo,BR
QPS,Campo Fontenelle Airport,Pirassununga,São Paulo,BR
IZA,Zona da Mata Regional Airport,Juiz De Fora,Minas Gerais,BR
LOB,San Rafael Airport,Los Andes,Valparaiso,CL
WAP,Alto Palena Airport,Alto Palena,Los-Lagos,CL
ARI,Chacalluta Airport,Arica,Arica-y-Parinacota,CL
WPA,Cabo 1° Juan Roman Airport,Puerto Aysen,Aisen,CL
CPO,Desierto de Atacama Airport,Copiapo,Atacama,CL
BBA,Balmaceda Airport,Balmaceda,Aisen,CL
TOQ,Barriles Airport,Tocopilla,Antofagasta,CL
DPB,Pampa Guanaco Airport,Bahia Inutil,Magallanes,CL
CCH,Chile Chico Airport,Chile Chico,Aisen,CL
CJC,El Loa Airport,Calama,Antofagasta,CL
YAI,Gral. Bernardo O´Higgins Airport,Chillan,Biobio,CL
PUQ,Pdte. Carlos Ibanez del Campo Airport,Punta Arenas,Magallanes,CL
COW,Tambillos Airport,Coquimbo,Coquimbo,CL
GXQ,Teniente Vidal Airport,Coyhaique,Aisen,CL
IQQ,Diego Aracena Airport,Iquique,Tarapaca,CL
SCL,Comodoro Arturo Merino Benitez International Airport,Santiago,Santiago-Metropolitan,CL
ESR,Ricardo Garcia Posada Airport,El Salvador,Atacama,CL
ANF,Cerro Moreno Airport,Antofagasta,Antofagasta,CL
WPR,Capitan Fuentes Martinez Airport Airport,Porvenir,Magallanes,CL
FRT,Frutillar Airport,Frutillar,Los-Lagos,CL
FFU,Futaleufu Airport,Futaleufu,Los-Lagos,CL
LSQ,Maria Dolores Airport,Los Angeles,Biobio,CL
WPU,Guardiamarina Zanartu Airport,Puerto Williams,Magallanes,CL
LGR,Cochrane Airport,Cochrane,Aisen,CL
CCP,Carriel Sur Airport,Concepcion,Biobio,CL
IPC,Mataveri Airport,Isla De Pascua,Valparaiso,CL
ZOS,Canal Bajo Carlos - Hott Siebert Airport,Osorno,Los-Lagos,CL
CPP,Coposa Airport,Pica,Tarapaca,CL
VLR,Vallenar Airport,Vallenar,Atacama,CL
ZLR,Municipal de Linares Airport,Linares,Maule,CL
PNT,Tte. Julio Gallardo Airport,Puerto Natales,Magallanes,CL
OVL,El Tuqui Airport,Ovalle,Coquimbo,CL
ZPC,Pucon Airport,Pucon,Araucania,CL
MHC,Mocopulli Airport,Dalcahue,Los Lagos Region,CL
PUX,El Mirador Airport,Puerto Varas,Los-Lagos,CL
CNR,Chanaral Airport,Chanaral,Atacama,CL
VAP,Rodelillo Airport,Vina Del Mar,Valparaiso,CL
QRC,De La Independencia Airport,Rancagua,O'Higgins,CL
SMB,Franco Bianco Airport,Cerro Sombrero,Magallanes,CL
LSC,La Florida Airport,La Serena-Coquimbo,Coquimbo,CL
SSD,Victor Lafon Airport,San Felipe,Valparaiso,CL
WCA,Gamboa Airport,Castro,Los-Lagos,CL
ZCO,Maquehue Airport,Temuco,Araucania,CL
PMC,El Tepual Airport,Puerto Montt,Los-Lagos,CL
TLX,Panguilemo Airport,Talca,Maule,CL
WCH,Chaiten Airport,Chaiten,Los-Lagos,CL
ZIC,Victoria Airport,Victoria,Araucania,CL
